distance id optim_v-1 optim_v-2 
242786 1 0.035 0.00035 
250469 2 0.04446277 0.0003872876 
250056 3 0.03618137 0.0003758659 
241552.2 4 0.04020554 0.00035 
272817.6 5 0.04020554 0.000425606 
241552.2 6 0.04020554 0.00035 
241551.9 7 0.04020654 0.00035 
241552.4 8 0.04020454 0.00035 
241741.4 9 0.04020554 0.000351 
241368.1 10 0.04020554 0.000349 
237495.1 11 0.05 0.00025 
237495.1 12 0.05 0.00025 
237495.1 13 0.049999 0.00025 
237478.7 14 0.05 0.000251 
237495.1 15 0.05 0.00025 
237353.8 16 0.04922959 0.0002579708 
237353.8 17 0.04923059 0.0002579708 
237353.8 18 0.04922859 0.0002579708 
237338.1 19 0.04922959 0.0002589708 
237369.7 20 0.04922959 0.0002569708 
236987.6 21 0.04614797 0.0002898541 
236987.6 22 0.04614897 0.0002898541 
236987.6 23 0.04614697 0.0002898541 
236987.5 24 0.04614797 0.0002908541 
236988.6 25 0.04614797 0.0002888541 
236987.8 26 0.04603622 0.0002911801 
236987.8 27 0.04603722 0.0002911801 
236987.8 28 0.04603522 0.0002911801 
236989 29 0.04603622 0.0002921801 
236987.5 30 0.04603622 0.0002901801 
236987.5 31 0.04610305 0.0002903871 
236987.5 32 0.04610405 0.0002903871 
236987.5 33 0.04610205 0.0002903871 
236987.9 34 0.04610305 0.0002913871 
236988 35 0.04610305 0.0002893871 
236987.5 36 0.04610955 0.0002903894 
236987.5 37 0.04611055 0.0002903894 
236987.5 38 0.04610855 0.0002903894 
236987.9 39 0.04610955 0.0002913894 
236988 40 0.04610955 0.0002893894 
236987.4 41 0.04613555 0.0002903985 
236987.4 42 0.04613655 0.0002903985 
236987.4 43 0.04613455 0.0002903985 
236987.8 44 0.04613555 0.0002913985 
236988 45 0.04613555 0.0002893985 
236987.4 46 0.04623954 0.000290435 
236987.4 47 0.04624054 0.000290435 
236987.4 48 0.04623854 0.000290435 
236987.7 49 0.04623954 0.000291435 
236988 50 0.04623954 0.000289435 
236987.2 51 0.04665551 0.000290581 
236987.2 52 0.04665651 0.000290581 
236987.2 53 0.04665451 0.000290581 
236987.2 54 0.04665551 0.000291581 
236988 55 0.04665551 0.000289581 
236986.1 56 0.04882434 0.0002922903 
236986.1 57 0.04882534 0.0002922903 
236986.1 58 0.04882334 0.0002922903 
236985.6 59 0.04882434 0.0002932903 
236987.5 60 0.04882434 0.0002912903 
236985.1 61 0.05 0.0002936746 
236985.1 62 0.05 0.0002936746 
236985.1 63 0.049999 0.0002936746 
236984.7 64 0.05 0.0002946746 
236986.4 65 0.05 0.0002926746 
236984.8 66 0.05 0.0002941545 
236984.8 67 0.05 0.0002941545 
236984.8 68 0.049999 0.0002941545 
236984.9 69 0.05 0.0002951545 
236985.7 70 0.05 0.0002931545 
236984.7 71 0.05 0.0002946204 
236984.7 72 0.05 0.0002946204 
236984.7 73 0.049999 0.0002946204 
236985.2 74 0.05 0.0002956204 
236985.2 75 0.05 0.0002936204 
236984.7 76 0.05 0.0002946117 
236984.7 77 0.05 0.0002946117 
236984.7 78 0.049999 0.0002946117 
236985.2 79 0.05 0.0002956117 
236985.2 80 0.05 0.0002936117 
236984.7 81 0.05 0.0002946185 
236984.7 82 0.05 0.0002946185 
236984.7 83 0.049999 0.0002946185 
236985.2 84 0.05 0.0002956185 
236985.2 85 0.05 0.0002936185 
236984.7 86 0.05 0.0002946118 
236984.7 87 0.05 0.0002946118 
236984.7 88 0.049999 0.0002946118 
236985.2 89 0.05 0.0002956118 
236985.2 90 0.05 0.0002936118 
236984.7 91 0.05 0.0002946174 
236984.7 92 0.05 0.0002946174 
236984.7 93 0.049999 0.0002946174 
236985.2 94 0.05 0.0002956174 
236985.2 95 0.05 0.0002936174 
236984.7 96 0.05 0.0002946183 
236984.7 97 0.05 0.0002946183 
236984.7 98 0.049999 0.0002946183 
236985.2 99 0.05 0.0002956183 
236985.2 100 0.05 0.0002936183 
236984.7 101 0.05 0.0002946184 
236984.7 102 0.05 0.0002946184 
236984.7 103 0.049999 0.0002946184 
236985.2 104 0.05 0.0002956184 
236985.2 105 0.05 0.0002936184 
236984.7 106 0.05 0.0002946183 
236984.7 107 0.05 0.0002946183 
236984.7 108 0.049999 0.0002946183 
236985.2 109 0.05 0.0002956183 
236985.2 110 0.05 0.0002936183 
236984.7 111 0.05 0.0002946183 
236984.7 112 0.05 0.0002946183 
236984.7 113 0.049999 0.0002946183 
236985.2 114 0.05 0.0002956183 
236985.2 115 0.05 0.0002936183 
236984.7 116 0.05 0.0002946183 
236984.7 117 0.05 0.0002946183 
236984.7 118 0.049999 0.0002946183 
236985.2 119 0.05 0.0002956183 
236985.2 120 0.05 0.0002936183 
236984.7 121 0.05 0.0002946183 
236984.7 122 0.05 0.0002946183 
236984.7 123 0.049999 0.0002946183 
236985.2 124 0.05 0.0002956183 
236985.2 125 0.05 0.0002936183 
236984.7 126 0.05 0.0002946183 
236984.7 127 0.05 0.0002946183 
236984.7 128 0.049999 0.0002946183 
236985.2 129 0.05 0.0002956183 
236985.2 130 0.05 0.0002936183 
236984.7 131 0.05 0.0002946183 
236984.7 132 0.05 0.0002946183 
236984.7 133 0.049999 0.0002946183 
236985.2 134 0.05 0.0002956183 
236985.2 135 0.05 0.0002936183 
241451.4 136 0.03529935 0.0003437911 
