distance id optim_v-1 optim_v-2 
6310.833 1 0.035 0.00035 
1272.885 2 0.04446277 0.0003872876 
205.3247 3 0.03866003 0.000412262 
446.7447 4 0.04386557 0.000412262 
2136.329 5 0.04386557 0.0004738825 
205.3247 6 0.03866003 0.000412262 
205.1976 7 0.03866103 0.000412262 
205.4519 8 0.03865903 0.000412262 
188.8935 9 0.03866003 0.000413262 
223.2378 10 0.03866003 0.000411262 
6229.269 11 0.05 5e-04 
6229.269 12 0.05 5e-04 
6228.804 13 0.049999 5e-04 
6229.269 14 0.05 5e-04 
6151.496 15 0.05 0.000499 
24.81695 16 0.04013818 0.0004236985 
24.81692 17 0.04013918 0.0004236985 
24.81704 18 0.04013718 0.0004236985 
26.71324 19 0.04013818 0.0004246985 
24.23601 20 0.04013818 0.0004226985 
24.2693 21 0.04013317 0.0004229684 
24.2678 22 0.04013417 0.0004229684 
24.27087 23 0.04013217 0.0004229684 
25.19885 24 0.04013317 0.0004239684 
24.66507 25 0.04013317 0.0004219684 
24.2212 26 0.04014859 0.0004227524 
24.2204 27 0.04014959 0.0004227524 
24.22207 28 0.04014759 0.0004227524 
24.88968 29 0.04014859 0.0004237524 
24.88093 30 0.04014859 0.0004217524 
24.21598 31 0.04015893 0.0004227271 
24.21582 32 0.04015993 0.0004227271 
24.21619 33 0.04015793 0.0004227271 
24.86711 34 0.04015893 0.0004237271 
24.89336 35 0.04015893 0.0004217271 
24.21622 36 0.04016218 0.0004227589 
24.21634 37 0.04016318 0.0004227589 
24.21617 38 0.04016118 0.0004227589 
24.91448 39 0.04016218 0.0004237589 
24.84603 40 0.04016218 0.0004217589 
24.21579 41 0.04016018 0.0004227393 
24.21574 42 0.04016118 0.0004227393 
24.2159 43 0.04015918 0.0004227393 
24.88503 44 0.04016018 0.0004237393 
24.87489 45 0.04016018 0.0004217393 
24.21571 46 0.0401615 0.000422734 
24.21574 47 0.0401625 0.000422734 
24.21574 48 0.0401605 0.000422734 
24.88001 49 0.0401615 0.000423734 
24.87981 50 0.0401615 0.000421734 
24.21571 51 0.04016152 0.0004227339 
24.21574 52 0.04016252 0.0004227339 
24.21574 53 0.04016052 0.0004227339 
24.87991 54 0.04016152 0.0004237339 
24.87991 55 0.04016152 0.0004217339 
24.21571 56 0.04016152 0.0004227339 
24.21574 57 0.04016252 0.0004227339 
24.21574 58 0.04016052 0.0004227339 
24.87991 59 0.04016152 0.0004237339 
24.87991 60 0.04016152 0.0004217339 
24.21571 61 0.04016152 0.0004227339 
24.21574 62 0.04016252 0.0004227339 
24.21574 63 0.04016052 0.0004227339 
24.87991 64 0.04016152 0.0004237339 
24.87991 65 0.04016152 0.0004217339 
24.21571 66 0.04016152 0.0004227339 
24.21574 67 0.04016252 0.0004227339 
24.21574 68 0.04016052 0.0004227339 
24.87991 69 0.04016152 0.0004237339 
24.87991 70 0.04016152 0.0004217339 
24.21571 71 0.04016152 0.0004227339 
24.21574 72 0.04016252 0.0004227339 
24.21574 73 0.04016052 0.0004227339 
24.87991 74 0.04016152 0.0004237339 
24.87991 75 0.04016152 0.0004217339 
24.21571 76 0.04016152 0.0004227339 
24.21574 77 0.04016252 0.0004227339 
24.21574 78 0.04016052 0.0004227339 
24.87991 79 0.04016152 0.0004237339 
24.87991 80 0.04016152 0.0004217339 
24.21571 81 0.04016152 0.0004227339 
24.21574 82 0.04016252 0.0004227339 
24.21574 83 0.04016052 0.0004227339 
24.87991 84 0.04016152 0.0004237339 
24.87991 85 0.04016152 0.0004217339 
24.21571 86 0.04016152 0.0004227339 
24.21574 87 0.04016252 0.0004227339 
24.21574 88 0.04016052 0.0004227339 
24.87991 89 0.04016152 0.0004237339 
24.87991 90 0.04016152 0.0004217339 
24.21571 91 0.04016152 0.0004227339 
24.21574 92 0.04016252 0.0004227339 
24.21574 93 0.04016052 0.0004227339 
24.87991 94 0.04016152 0.0004237339 
24.87991 95 0.04016152 0.0004217339 
24.21571 96 0.04016152 0.0004227339 
24.21574 97 0.04016252 0.0004227339 
24.21574 98 0.04016052 0.0004227339 
24.87991 99 0.04016152 0.0004237339 
24.87991 100 0.04016152 0.0004217339 
24.21571 101 0.04016152 0.0004227339 
24.21574 102 0.04016252 0.0004227339 
24.21574 103 0.04016052 0.0004227339 
24.87991 104 0.04016152 0.0004237339 
24.87991 105 0.04016152 0.0004217339 
24.21571 106 0.04016152 0.0004227339 
24.21574 107 0.04016252 0.0004227339 
24.21574 108 0.04016052 0.0004227339 
24.87991 109 0.04016152 0.0004237339 
24.87991 110 0.04016152 0.0004217339 
24.21571 111 0.04016152 0.0004227339 
24.21574 112 0.04016252 0.0004227339 
24.21574 113 0.04016052 0.0004227339 
24.87991 114 0.04016152 0.0004237339 
24.87991 115 0.04016152 0.0004217339 
24.21571 116 0.04016152 0.0004227339 
24.21574 117 0.04016252 0.0004227339 
24.21574 118 0.04016052 0.0004227339 
24.87991 119 0.04016152 0.0004237339 
24.87991 120 0.04016152 0.0004217339 
24.21571 121 0.04016152 0.0004227339 
24.21574 122 0.04016252 0.0004227339 
24.21574 123 0.04016052 0.0004227339 
24.87991 124 0.04016152 0.0004237339 
24.87991 125 0.04016152 0.0004217339 
24.21571 126 0.04016152 0.0004227339 
24.21574 127 0.04016252 0.0004227339 
24.21574 128 0.04016052 0.0004227339 
24.87991 129 0.04016152 0.0004237339 
24.87991 130 0.04016152 0.0004217339 
24.21571 131 0.04016152 0.0004227339 
24.21574 132 0.04016252 0.0004227339 
24.21574 133 0.04016052 0.0004227339 
24.87991 134 0.04016152 0.0004237339 
24.87991 135 0.04016152 0.0004217339 
24.21571 136 0.04016152 0.0004227339 
24.21574 137 0.04016252 0.0004227339 
24.21574 138 0.04016052 0.0004227339 
24.87991 139 0.04016152 0.0004237339 
24.87991 140 0.04016152 0.0004217339 
24.21571 141 0.04016152 0.0004227339 
24.21574 142 0.04016252 0.0004227339 
24.21574 143 0.04016052 0.0004227339 
24.87991 144 0.04016152 0.0004237339 
24.87991 145 0.04016152 0.0004217339 
24.21571 146 0.04016152 0.0004227339 
24.21574 147 0.04016252 0.0004227339 
24.21574 148 0.04016052 0.0004227339 
24.87991 149 0.04016152 0.0004237339 
24.87991 150 0.04016152 0.0004217339 
24.21571 151 0.04016152 0.0004227339 
24.21574 152 0.04016252 0.0004227339 
24.21574 153 0.04016052 0.0004227339 
24.87991 154 0.04016152 0.0004237339 
24.87991 155 0.04016152 0.0004217339 
32659.04 156 0.03988402 0.00025 
32658.62 157 0.03988502 0.00025 
32659.46 158 0.03988302 0.00025 
