distance id optim_v-1 optim_v-2 
3778.702 1 0.15 0.00015 
21542.92 3 0.1094628 0.000137281 
49179.01 4 0.1511814 0.0001758676 
25617.03 5 0.1052055 0.00015 
76349.53 6 0.15 0.0001116155 
3778.702 7 0.15 0.00015 
3778.864 8 0.150001 0.00015 
3778.539 9 0.149999 0.00015 
4674.431 10 0.15 0.000151 
2982.706 11 0.15 0.000149 
207105.5 12 0.1 1e-04 
207102.6 13 0.100001 1e-04 
207105.5 14 0.1 1e-04 
199098.5 15 0.1 0.000101 
207105.5 16 0.1 1e-04 
131.5156 17 0.1441086 0.0001441086 
131.5476 18 0.1441096 0.0001441086 
131.4836 19 0.1441076 0.0001441086 
361.1633 20 0.1441086 0.0001451086 
24.43611 21 0.1441086 0.0001431086 
2.078153 22 0.1426518 0.0001426475 
2.07304 23 0.1426528 0.0001426475 
2.083287 24 0.1426508 0.0001426475 
45.14028 25 0.1426518 0.0001436475 
87.19251 26 0.1426518 0.0001416475 
0.02234058 27 0.1428264 0.0001428149 
0.02175423 28 0.1428274 0.0001428149 
0.02294862 29 0.1428254 0.0001428149 
64.92542 30 0.1428264 0.0001438149 
62.65588 31 0.1428264 0.0001418149 
0.01481161 32 0.1428283 0.0001428106 
0.01424841 33 0.1428293 0.0001428106 
0.01539649 34 0.1428273 0.0001428106 
64.3913 35 0.1428283 0.0001438106 
63.1912 36 0.1428283 0.0001418106 
0.003641592 37 0.1428411 0.0001428044 
0.003328316 38 0.1428421 0.0001428044 
0.003976542 39 0.1428401 0.0001428044 
63.64592 40 0.1428411 0.0001438044 
63.93823 41 0.1428411 0.0001418044 
0.001077457 42 0.1428522 0.0001428038 
0.00100242 43 0.1428532 0.0001428038 
0.001174159 44 0.1428512 0.0001428038 
63.6161 45 0.1428522 0.0001438038 
63.96518 46 0.1428522 0.0001418038 
0.04149225 47 0.1428584 0.0001428254 
0.04164413 48 0.1428594 0.0001428254 
0.04136203 49 0.1428574 0.0001428254 
66.40492 50 0.1428584 0.0001438254 
61.17438 51 0.1428584 0.0001418254 
0.001393573 52 0.1428524 0.0001428044 
0.001325416 53 0.1428534 0.0001428044 
0.001483394 54 0.1428514 0.0001428044 
63.69977 55 0.1428524 0.0001438044 
63.87964 56 0.1428524 0.0001418044 
0.001092993 57 0.1428522 0.0001428038 
0.001018326 58 0.1428532 0.0001428038 
0.001189325 59 0.1428512 0.0001428038 
63.6206 60 0.1428522 0.0001438038 
63.96058 61 0.1428522 0.0001418038 
0.001078308 62 0.1428522 0.0001428038 
0.001003291 63 0.1428532 0.0001428038 
0.001174989 64 0.1428512 0.0001428038 
63.61635 65 0.1428522 0.0001438038 
63.96492 66 0.1428522 0.0001418038 
0.001077504 67 0.1428522 0.0001428038 
0.001002468 68 0.1428532 0.0001428038 
0.001174204 69 0.1428512 0.0001428038 
63.61612 70 0.1428522 0.0001438038 
63.96516 71 0.1428522 0.0001418038 
0.00107746 72 0.1428522 0.0001428038 
0.001002423 73 0.1428532 0.0001428038 
0.001174161 74 0.1428512 0.0001428038 
63.6161 75 0.1428522 0.0001438038 
63.96518 76 0.1428522 0.0001418038 
0.001077457 77 0.1428522 0.0001428038 
0.001002421 78 0.1428532 0.0001428038 
0.001174159 79 0.1428512 0.0001428038 
63.6161 80 0.1428522 0.0001438038 
63.96518 81 0.1428522 0.0001418038 
0.001077457 82 0.1428522 0.0001428038 
0.00100242 83 0.1428532 0.0001428038 
0.001174159 84 0.1428512 0.0001428038 
63.6161 85 0.1428522 0.0001438038 
63.96518 86 0.1428522 0.0001418038 
0.001077457 87 0.1428522 0.0001428038 
0.00100242 88 0.1428532 0.0001428038 
0.001174159 89 0.1428512 0.0001428038 
63.6161 90 0.1428522 0.0001438038 
63.96518 91 0.1428522 0.0001418038 
0.001077457 92 0.1428522 0.0001428038 
